ASN,CC,Name,IXP Number (IX-F ID),Switch Name,IPv4 Address,IPv6 Address,MAC Address,Vendor,MANRS,IXP Switch
9930,,Time dotcom Global Services Sdn. Bhd,110,,,,,,0,110
9253,,TVB.COM Limited,110,,,,,,0,110
9534,,Maxis Communications Berhad,110,,,,,,0,110
57976,DE,Blizzard Entertainment,37,ilan.fra.equinix.as01,86.104.125.89,2001:7f8:64:225:0:5:7976:1,08:b2:58:67:2d:37,Juniper Networks,0,37+ilan.fra.equinix.as01
42,,Packet Clearing House AS42,139,,193.138.31.21,2001:7f8:56::21:1,00:0c:29:cc:24:f5,"VMware, Inc.",0,139
9658,,Eastern Telecommunications,110,,,,,,0,110
9536,,Sony Corporation of Hong Kong Limited,110,,,,,,0,110
62380,RO,Bunea Telecom,37,ilan.tm.arniec.as01,86.104.125.68,2001:7f8:64:225:0:6:2380:1,,,0,37+ilan.tm.arniec.as01
9744,,XLC Global Limited,110,,,,,,0,110
62445,RO,Ada Net TV,37,ilan.cj.cia.as01,86.104.125.83,2001:7f8:64:225:0:6:2445:1,,,0,37+ilan.cj.cia.as01
9924,,TFN HK Ltd.,110,,,,,,0,110
48284,,SWU TeleNet GmbH,139,,193.138.31.19,2001:7f8:56::19:1,2c:33:11:88:af:93,"Cisco Systems, Inc",1,139
9821,,Advanced Science and Technology,110,,,,,,0,110
9902,,Neocom,110,,,,,,0,110
51492,,Aquilius Research GmbH,139,,193.138.31.35,,cc:e1:94:64:80:3d,Juniper Networks,0,139
136907,RO,China Mobile International Limited (Huawei),37,ilan.b.nx1.as01,86.104.125.183,2001:7f8:64:225:0:13:6907:1,,,0,37+ilan.b.nx1.as01
9908,,Hong Kong Cable Television Limited,110,,,,,,0,110
203574,RO,Conect Intercom,37,ilan.sv.teletrans.as01,86.104.125.170,2001:7f8:64:225:0:20:3574:1,,,0,37+ilan.sv.teletrans.as01
63293,,Facebook Inc AS63293,139,,193.138.31.23,2001:7f8:56::23:1,d4:af:f7:6e:12:0d,Arista Networks,0,139
9925,,PCCW Powerbase Data Center Svc (HK) Ltd,110,,,,,,0,110
203929,RO,Next Level Connect,37,ilan.b.nx2.as01,86.104.125.132,2001:7f8:64:225:0:20:3929:1,,,0,37+ilan.b.nx2.as01
9929,,China Unicom(Hong Kong) Operations Limited,110,,,,,,0,110
2200,,RENATER,31,,77.95.71.17,2001:7f8:47:47::11,,,0,31
212221,RO,Urban Tv,37,ilan.is.toptel.as01,86.104.125.78,2001:7f8:64:225:0:4:3443:1,,,0,37+ilan.is.toptel.as01
112,,Joint-stock company MSK-IX,139,,193.138.31.251,2001:7f8:56::112,0e:7a:11:67:58:55,,0,139
6735,,sdt.net AG,139,,193.138.31.4,2001:7f8:56::4:1,48:8f:5a:4f:57:74,Routerboard.com,0,139
51458,,PALAIS DES CONGRES DE LYON,31,placeholder switch,77.95.71.71,2001:7f8:47:47::47,,,0,31+placeholder switch
553,,BelWue,139,,193.138.31.16,2001:7f8:56::16:1,08:96:ad:26:0c:c9,"Cisco Systems, Inc",1,139
3856,,Packet Clearing House,139,,193.138.31.22,2001:7f8:56::22:1,00:0c:29:2b:db:5c,"VMware, Inc.",0,139
6735,,sdt.net AG,139,,193.138.31.4,2001:7f8:56::4:1,2c:c8:1b:69:91:db,Routerboard.com,0,139
25091,,IP-Max SA,31,placeholder switch,77.95.71.80,2001:7f8:47:47::50,,,0,31+placeholder switch
12502,,"Nepustil GmbH, Bempflingen",139,,193.138.31.7,2001:7f8:56::7:1,90:e2:ba:80:96:9c,Intel Corporate,0,139
20676,,Plusnet GmbH,139,,193.138.31.29,2001:7f8:56::29:1,00:22:83:db:07:c6,Juniper Networks,0,139
39702,,Sparkassen-IT GmbH & Co. KG,139,,193.138.31.17,2001:7f8:56::17:1,70:e4:22:28:8a:0c,"Cisco Systems, Inc",0,139
197653,,ALCATRAZ INFORMATION SECURITY,31,placeholder switch,77.95.71.92,2001:7f8:47:47::5c,,,0,31+placeholder switch
20940,,Akamai Technologies,139,,193.138.31.8,2001:7f8:56::8:1,04:f8:f8:a5:15:3a,Edgecore Networks Corporation,1,139
21263,,TeleData GmbH,139,,193.138.31.11,2001:7f8:56::11:1,5c:a6:2d:ce:39:2e,"Cisco Systems, Inc",0,139
199568,,FMI,31,placeholder switch,77.95.71.97,2001:7f8:47:47::61,,,0,31+placeholder switch
25058,,CMO Internet Dienstleistungen GmbH,139,,193.138.31.13,2001:7f8:56::13:1,00:d0:04:fc:64:00,PENTACOM LTD.,0,139
47138,,PLANinterNET GmbH,139,,193.138.31.14,2001:7f8:56::14:1,00:30:18:09:b4:c5,"Jetway Information Co., Ltd.",0,139
33843,,ISP Service eG (formerly Interscholz Internet Services GmbH),139,,193.138.31.2,2001:7f8:56::2:1,90:e2:ba:7d:98:a4,Intel Corporate,0,139
51038,,HOSPICES CIVILS DE LYON,31,placeholder switch,77.95.71.116,2001:7f8:47:47::74,,,0,31+placeholder switch
62336,,PURtel.com GmbH,139,,193.138.31.34,2001:7f8:56::34:1,3c:8a:b0:8b:11:e2,Juniper Networks,0,139
202707,,omnidat GmbH,139,,193.138.31.28,2001:7f8:56::28:1,4c:5e:0c:02:b1:a0,Routerboard.com,0,139
43142,,Adeli,31,placeholder switch,77.95.71.11,2001:7f8:47:47::b,,,0,31+placeholder switch
39180,,Lasotel,31,placeholder switch,77.95.71.12,2001:7f8:47:47::c,,,0,31+placeholder switch
49923,,GFF SAS,31,placeholder switch,77.95.71.42,2001:7f8:47:47::2a,,,0,31+placeholder switch
30781,,Jaguar Network SAS,31,placeholder switch,77.95.71.32,2001:7f8:47:47::20,,,0,31+placeholder switch
48072,,ALSATIS,31,placeholder switch,77.95.71.44,2001:7f8:47:47::2c,,,0,31+placeholder switch
62141,,COMPAGNIE NATIONALE DU RHONE,31,placeholder switch,77.95.71.135,,,,0,31+placeholder switch
51458,,PALAIS DES CONGRES DE LYON,31,placeholder switch,77.95.71.51,2001:7f8:47:47::33,,,0,31+placeholder switch
197036,,IPLINE,31,placeholder switch,77.95.71.53,2001:7f8:47:47::35,,,0,31+placeholder switch
2484,,AFNIC,31,placeholder switch,77.95.71.34,2001:7f8:47:47::22,,,0,31+placeholder switch
29075,,Ielo-Liazo,31,placeholder switch,77.95.71.62,2001:7f8:47:47::3f,,,0,31+placeholder switch
15401,,BUSINESS & DECISION INTERACTIVE EOLAS,31,placeholder switch,77.95.71.66,2001:7f8:47:47::42,,,0,31+placeholder switch
199483,,NXO France,31,placeholder switch,77.95.71.209,2001:7f8:47:47::d1,,,0,31+placeholder switch
24904,,Kwaoo.com,31,placeholder switch,77.95.71.67,2001:7f8:47:47::43,,,0,31+placeholder switch
197161,,SYNAAPS,31,,77.95.71.61,2001:7f8:47:47::3d,,,0,31
41090,,E-Liance,31,placeholder switch,77.95.71.70,2001:7f8:47:47::46,,,0,31+placeholder switch
200780,,Appliwave,31,placeholder switch,77.95.71.105,2001:7f8:47:47::69,,,0,31+placeholder switch
50812,,Axess Online,31,placeholder switch,77.95.71.75,2001:7f8:47:47::4b,,,0,31+placeholder switch
199125,,Alliance Réseaux,31,,77.95.71.103,2001:7f8:47:47::67,,,0,31
50812,,Axess Online,31,placeholder switch,77.95.71.102,2001:7f8:47:47::66,,,0,31+placeholder switch
41370,,ALINTO,31,placeholder switch,77.95.71.108,2001:7f8:47:47::6c,,,0,31+placeholder switch
206120,,ALPESYS/C'PRO,31,,77.95.71.52,2001:7f8:47:47::34,,,0,31
61394,,GL EVENTS SI,31,placeholder switch,77.95.71.94,2001:7f8:47:47::5e,,,0,31+placeholder switch
20672,,ARTPRICE,31,placeholder switch,77.95.71.114,2001:7f8:47:47::72,,,0,31+placeholder switch
204818,,Hosteur,31,,77.95.71.107,2001:7f8:47:47::6b,,,0,31
199579,,SDMIS 69,31,placeholder switch,77.95.71.96,2001:7f8:47:47::60,,,0,31+placeholder switch
199568,,FMI,31,placeholder switch,77.95.71.99,,,,0,31+placeholder switch
35676,,LA POSTE - CSMSI/STRS,31,placeholder switch,77.95.71.128,2001:7f8:47:47::80,,,0,31+placeholder switch
209627,,ARTELIA HOLDING,31,placeholder switch,77.95.71.129,2001:7f8:47:47::81,,,0,31+placeholder switch
41364,,TOP-IX,31,,77.95.71.98,2001:7f8:47:47::62,,,0,31
199125,,Alliance Réseaux,31,,77.95.71.144,2001:7f8:47:47::90,,,0,31
209146,,HOSTELYON,31,placeholder switch,77.95.71.111,2001:7f8:47:47::6f,,,0,31+placeholder switch
60570,,LASOTEL,31,placeholder switch,77.95.71.104,2001:7f8:47:47::68,,,0,31+placeholder switch
3856,,Packet Clearing House,31,placeholder switch,77.95.71.119,2001:7f8:47:47::77,,,0,31+placeholder switch
5410,,Bouygues Telecom,31,,77.95.71.112,2001:7f8:47:47::70,,,0,31
43100,,Rezopole/LyonIX,31,placeholder switch,77.95.71.252,2001:7f8:47:47::fc,,,1,31+placeholder switch
34019,,Association Hivane,31,placeholder switch,77.95.71.124,2001:7f8:47:47::7c,,,0,31+placeholder switch
15557,,SFR,31,,77.95.71.13,2001:7f8:47:47::d,,,0,31
20917,,FIDUCIAL CLOUD,31,placeholder switch,77.95.71.164,2001:7f8:47:47::a4,,,0,31+placeholder switch
20672,,ARTPRICE,31,placeholder switch,77.95.71.115,2001:7f8:47:47::73,,,0,31+placeholder switch
39405,,Fullsave SAS,31,placeholder switch,77.95.71.141,2001:7f8:47:47::8d,,,0,31+placeholder switch
50903,,TRINAPS,31,placeholder switch,77.95.71.110,2001:7f8:47:47::6e,,,0,31+placeholder switch
8218,,Neotelecoms SAS,31,placeholder switch,77.95.71.60,2001:7f8:47:47::3c,,,0,31+placeholder switch
61193,,ROBIER,31,placeholder switch,77.95.71.165,2001:7f8:47:47::a5,,,0,31+placeholder switch
42,,Packet Clearing House AS42,31,placeholder switch,77.95.71.118,2001:7f8:47:47::76,,,0,31+placeholder switch
198545,,FLEX NETWORK,31,,77.95.71.85,2001:7f8:47:47::55,,,0,31
10310,NL,Yahoo India Pvt. Ltd,681,asw1.ams2.nl,185.1.32.32,2001:7f8:8f::a501:310:2,,,0,681+asw1.ams2.nl
47858,,APICIL,31,placeholder switch,77.95.71.131,2001:7f8:47:47::83,,,0,31+placeholder switch
199422,,REZOPOLE,31,placeholder switch,77.95.71.202,2001:7f8:47:47::ca,,,0,31+placeholder switch
202096,,MUSEE DES CONFLUENCES,31,placeholder switch,77.95.71.140,2001:7f8:47:47::8c,,,0,31+placeholder switch
202096,,MUSEE DES CONFLUENCES,31,placeholder switch,77.95.71.145,2001:7f8:47:47::91,,,0,31+placeholder switch
1273,IE,Vodafone Enterprise Sweden AB,20,swi1-kcp1-1,185.6.36.81,2001:7f8:18::81,00:04:96:99:32:f2,"Extreme Networks, Inc.",0,20+swi1-kcp1-1
