IXP Number (IX-F ID),Name,Metro,Switch Name,Switch Model,Software Version,Peering DB Facility ID,Coordinates,IPv4,IPv6,MANRS,ASN Sum,IXP Switch
522,DataIX Internet Exchange (DataIX Internet Exchange),Kiev,fiberax-vswitch,Virtual,,365,"50.551468,30.629527",178.18.224.0/22,2a03:5f80:4::0/64,0,1,522+fiberax-vswitch
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-pwt2-1,X670G2-48x-4q,,797,,194.88.241.64/26,2001:7f8:18:72::/64,0,5,645+swi2-pwt2-1
522,DataIX Internet Exchange (DataIX Internet Exchange),Moscow,netfort-vswitch,Virtual,,152,"55.652639,37.528861",178.18.224.0/22,2a03:5f80:4::0/64,0,1,522+netfort-vswitch
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-pwt1-1,X670G2-48x-4q,,177,,194.88.241.64/26,2001:7f8:18:72::/64,0,12,645+swi2-pwt1-1
522,DataIX Internet Exchange (DataIX Internet Exchange),Kiev,kyivlink-vswitch,Virtual,,961,"50.445102,30.510193",178.18.224.0/22,2a03:5f80:4::0/64,0,1,522+kyivlink-vswitch
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-nwb1-1,X670G2-48x-4q,,1065,,194.88.241.64/26,2001:7f8:18:72::/64,0,7,645+swi2-nwb1-1
522,DataIX Internet Exchange (DataIX Internet Exchange),Moscow,x670-1.aiteko.mow.gblnet.net,X670V-48x,,,,178.18.224.0/22,2a03:5f80:4::0/64,0,1,522+x670-1.aiteko.mow.gblnet.net
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-cwt1-3,Mellanox MSN2100,,164,,194.88.241.64/26,2001:7f8:18:72::/64,0,4,645+swi2-cwt1-3
522,DataIX Internet Exchange (DataIX Internet Exchange),Moscow,Zummer-12BIT-vswitch,Virtual,,152,"55.652639,37.528861",178.18.224.0/22,2a03:5f80:4::0/64,0,0,522+Zummer-12BIT-vswitch
645,INEX LAN2 (Internet Neutral Exchange Association Limited by Guarantee),Dublin,swi2-kcp1-2,X670G2-48x-4q,,178,,194.88.241.64/26,2001:7f8:18:72::/64,0,21,645+swi2-kcp1-2
